id,crimeType,date,time,latitude,longitude,area,zone,policeStation,description,isAccident,isSensitiveZone
FIR2001,Cyber Crime,2025-12-15,08:14,19.14213,72.81525,Thane,Zone D,Borivali PS,Dummy FIR record for Mumbai region (land only),True,True
FIR2002,Robbery,2025-12-03,02:24,19.16955,72.91981,Andheri,Zone A,Borivali PS,Dummy FIR record for Mumbai region (land only),False,False
FIR2003,Theft,2025-12-14,08:27,19.19782,72.83758,Andheri,Zone D,Bandra PS,Dummy FIR record for Mumbai region (land only),False,False
FIR2004,Burglary,2026-01-03,10:34,19.18152,72.92724,Andheri,Zone C,Kurla PS,Dummy FIR record for Mumbai region (land only),False,True
FIR2005,Robbery,2026-01-08,13:01,19.04004,72.82629,Dadar,Zone A,Andheri PS,Dummy FIR record for Mumbai region (land only),True,False
FIR2006,Murder,2025-12-12,22:09,19.06426,72.84042,Mulund,Zone B,Bandra PS,Dummy FIR record for Mumbai region (land only),False,True
FIR2007,Murder,2025-12-13,13:23,19.07455,72.90041,Malad,Zone A,Andheri PS,Dummy FIR record for Mumbai region (land only),True,False
FIR2008,Robbery,2025-12-11,03:10,19.02806,72.89119,Colaba,Zone C,Borivali PS,Dummy FIR record for Mumbai region (land only),True,False
FIR2009,Robbery,2025-12-17,01:01,19.19581,72.88929,Thane,Zone D,Colaba PS,Dummy FIR record for Mumbai region (land only),False,False
FIR2010,Theft,2025-12-28,03:59,19.05426,72.88362,Malad,Zone A,Kurla PS,Dummy FIR record for Mumbai region (land only),True,True
FIR2011,Cyber Crime,2025-12-29,18:46,19.19706,72.8464,Dadar,Zone A,Andheri PS,Dummy FIR record for Mumbai region (land only),False,True
FIR2012,Theft,2025-12-25,07:04,19.10944,72.89087,Ghatkopar,Zone D,Colaba PS,Dummy FIR record for Mumbai region (land only),False,True
FIR2013,Cyber Crime,2025-12-31,10:11,19.08488,72.91852,Andheri,Zone D,Colaba PS,Dummy FIR record for Mumbai region (land only),False,True
FIR2014,Assault,2025-12-23,00:34,19.19751,72.87353,Malad,Zone C,Borivali PS,Dummy FIR record for Mumbai region (land only),True,False
FIR2015,Murder,2026-01-05,13:26,19.05439,72.81081,Bandra,Zone D,Kurla PS,Dummy FIR record for Mumbai region (land only),True,False
FIR2016,Burglary,2025-12-15,14:32,19.1254,72.85201,Malad,Zone C,Bandra PS,Dummy FIR record for Mumbai region (land only),False,False
FIR2017,Kidnapping,2026-01-02,03:09,19.01608,72.90735,Bandra,Zone B,Andheri PS,Dummy FIR record for Mumbai region (land only),True,True
FIR2018,Cyber Crime,2025-12-30,20:59,19.00973,72.8422,Dadar,Zone D,Bandra PS,Dummy FIR record for Mumbai region (land only),False,True
FIR2019,Theft,2026-01-19,05:52,19.08085,72.93615,Bandra,Zone D,Kurla PS,Dummy FIR record for Mumbai region (land only),False,False
FIR2020,Kidnapping,2025-12-18,22:57,19.1318,72.87141,Malad,Zone D,Borivali PS,Dummy FIR record for Mumbai region (land only),False,False
FIR2021,Fraud,2025-12-20,17:01,19.04004,72.88285,Andheri,Zone A,Dadar PS,Dummy FIR record for Mumbai region (land only),True,False
FIR2022,Theft,2026-01-09,09:20,19.18858,72.9151,Andheri,Zone D,Colaba PS,Dummy FIR record for Mumbai region (land only),True,True
FIR2023,Murder,2025-12-24,18:17,19.08428,72.92742,Kurla,Zone D,Bandra PS,Dummy FIR record for Mumbai region (land only),True,True
FIR2024,Theft,2026-01-02,04:03,19.09414,72.85273,Mulund,Zone B,Borivali PS,Dummy FIR record for Mumbai region (land only),False,True
FIR2025,Assault,2026-01-14,15:34,19.18181,72.81574,Mulund,Zone A,Kurla PS,Dummy FIR record for Mumbai region (land only),True,False
FIR2026,Theft,2026-01-16,11:20,19.16723,72.94819,Borivali,Zone B,Kurla PS,Dummy FIR record for Mumbai region (land only),True,False
FIR2027,Theft,2025-12-26,14:05,19.09168,72.89944,Dadar,Zone C,Colaba PS,Dummy FIR record for Mumbai region (land only),False,True
FIR2028,Assault,2026-01-16,08:17,19.13573,72.92214,Kurla,Zone A,Dadar PS,Dummy FIR record for Mumbai region (land only),False,False
FIR2029,Kidnapping,2025-12-17,10:49,19.02075,72.94589,Borivali,Zone D,Colaba PS,Dummy FIR record for Mumbai region (land only),False,True
FIR2030,Cyber Crime,2025-12-05,11:06,19.19271,72.82348,Kurla,Zone C,Kurla PS,Dummy FIR record for Mumbai region (land only),True,False
FIR2031,Theft,2026-01-07,13:02,19.05766,72.82197,Ghatkopar,Zone D,Colaba PS,Dummy FIR record for Mumbai region (land only),True,True
FIR2032,Murder,2025-12-12,01:03,19.0861,72.90474,Ghatkopar,Zone A,Kurla PS,Dummy FIR record for Mumbai region (land only),True,True
FIR2033,Assault,2026-01-17,03:57,19.10996,72.86106,Kurla,Zone C,Dadar PS,Dummy FIR record for Mumbai region (land only),True,False
FIR2034,Theft,2025-12-01,11:12,19.05693,72.94857,Ghatkopar,Zone B,Colaba PS,Dummy FIR record for Mumbai region (land only),False,False
FIR2035,Murder,2025-12-06,21:44,19.13947,72.80529,Thane,Zone A,Colaba PS,Dummy FIR record for Mumbai region (land only),True,True
FIR2036,Murder,2026-01-02,13:28,19.08003,72.90354,Malad,Zone A,Bandra PS,Dummy FIR record for Mumbai region (land only),False,False
FIR2037,Burglary,2025-12-26,23:00,19.1579,72.94878,Borivali,Zone D,Dadar PS,Dummy FIR record for Mumbai region (land only),True,False
FIR2038,Kidnapping,2026-01-15,02:00,19.17722,72.84401,Borivali,Zone D,Borivali PS,Dummy FIR record for Mumbai region (land only),False,False
FIR2039,Assault,2026-01-01,00:52,19.00855,72.89851,Malad,Zone C,Andheri PS,Dummy FIR record for Mumbai region (land only),False,False
FIR2040,Robbery,2025-12-19,17:54,19.11397,72.91818,Colaba,Zone A,Colaba PS,Dummy FIR record for Mumbai region (land only),False,False
FIR2041,Murder,2025-12-04,03:20,19.15347,72.84492,Dadar,Zone B,Colaba PS,Dummy FIR record for Mumbai region (land only),True,True
FIR2042,Assault,2026-01-13,22:50,19.1202,72.94346,Borivali,Zone B,Colaba PS,Dummy FIR record for Mumbai region (land only),True,True
FIR2043,Fraud,2026-01-04,01:50,19.17353,72.89815,Kurla,Zone B,Dadar PS,Dummy FIR record for Mumbai region (land only),False,False
FIR2044,Theft,2025-12-27,03:22,19.15058,72.83513,Kurla,Zone A,Bandra PS,Dummy FIR record for Mumbai region (land only),True,True
FIR2045,Murder,2026-01-03,19:14,19.06963,72.89118,Kurla,Zone B,Colaba PS,Dummy FIR record for Mumbai region (land only),True,False
FIR2046,Burglary,2025-12-04,17:22,19.11188,72.93267,Colaba,Zone B,Dadar PS,Dummy FIR record for Mumbai region (land only),False,False
FIR2047,Burglary,2025-12-10,03:30,19.19881,72.82256,Bandra,Zone C,Borivali PS,Dummy FIR record for Mumbai region (land only),True,False
FIR2048,Cyber Crime,2025-12-01,22:38,19.0865,72.83434,Malad,Zone C,Colaba PS,Dummy FIR record for Mumbai region (land only),True,True
FIR2049,Assault,2025-12-19,13:21,19.09458,72.94274,Mulund,Zone B,Andheri PS,Dummy FIR record for Mumbai region (land only),False,True
FIR2050,Robbery,2025-12-18,03:48,19.03937,72.91528,Ghatkopar,Zone C,Dadar PS,Dummy FIR record for Mumbai region (land only),True,True
FIR2051,Burglary,2025-12-22,17:26,19.05107,72.83325,Thane,Zone A,Bandra PS,Dummy FIR record for Mumbai region (land only),True,True
FIR2052,Assault,2025-12-03,14:59,19.04434,72.81334,Kurla,Zone A,Colaba PS,Dummy FIR record for Mumbai region (land only),True,True
FIR2053,Cyber Crime,2025-12-17,10:44,19.16697,72.90586,Thane,Zone A,Kurla PS,Dummy FIR record for Mumbai region (land only),False,True
FIR2054,Robbery,2026-01-03,09:22,19.06004,72.85184,Dadar,Zone B,Bandra PS,Dummy FIR record for Mumbai region (land only),False,True
FIR2055,Cyber Crime,2025-12-18,17:55,19.03268,72.83776,Bandra,Zone D,Borivali PS,Dummy FIR record for Mumbai region (land only),True,True
FIR2056,Robbery,2025-12-14,13:48,19.01962,72.92772,Bandra,Zone B,Dadar PS,Dummy FIR record for Mumbai region (land only),False,False
FIR2057,Fraud,2025-12-16,05:30,19.08259,72.84762,Kurla,Zone D,Dadar PS,Dummy FIR record for Mumbai region (land only),False,False
FIR2058,Burglary,2025-12-01,16:56,19.05367,72.86834,Bandra,Zone B,Colaba PS,Dummy FIR record for Mumbai region (land only),True,True
FIR2059,Robbery,2026-01-07,17:29,19.10829,72.92164,Kurla,Zone C,Dadar PS,Dummy FIR record for Mumbai region (land only),False,False
FIR2060,Assault,2026-01-15,16:39,19.09085,72.91422,Colaba,Zone B,Andheri PS,Dummy FIR record for Mumbai region (land only),True,False
FIR2061,Kidnapping,2025-12-12,20:25,19.004,72.8659,Colaba,Zone D,Borivali PS,Dummy FIR record for Mumbai region (land only),False,False
FIR2062,Robbery,2025-12-20,00:27,19.07388,72.82086,Borivali,Zone D,Bandra PS,Dummy FIR record for Mumbai region (land only),False,True
FIR2063,Fraud,2025-12-26,18:23,19.10579,72.938,Kurla,Zone C,Colaba PS,Dummy FIR record for Mumbai region (land only),True,True
FIR2064,Cyber Crime,2026-01-18,16:44,19.04162,72.91623,Andheri,Zone B,Colaba PS,Dummy FIR record for Mumbai region (land only),False,False
FIR2065,Fraud,2026-01-19,07:05,19.10748,72.91467,Colaba,Zone A,Andheri PS,Dummy FIR record for Mumbai region (land only),False,True
FIR2066,Burglary,2025-12-22,23:34,19.11038,72.84534,Andheri,Zone D,Kurla PS,Dummy FIR record for Mumbai region (land only),False,True
FIR2067,Murder,2026-01-11,01:46,19.16699,72.83357,Andheri,Zone C,Colaba PS,Dummy FIR record for Mumbai region (land only),True,True
FIR2068,Robbery,2026-01-11,13:30,19.14856,72.87908,Dadar,Zone A,Colaba PS,Dummy FIR record for Mumbai region (land only),True,False
FIR2069,Robbery,2026-01-04,23:09,19.16203,72.86967,Bandra,Zone B,Borivali PS,Dummy FIR record for Mumbai region (land only),False,False
FIR2070,Murder,2025-12-29,09:46,19.10996,72.82844,Ghatkopar,Zone C,Dadar PS,Dummy FIR record for Mumbai region (land only),True,False
FIR2071,Burglary,2026-01-20,03:13,19.13384,72.85515,Ghatkopar,Zone A,Kurla PS,Dummy FIR record for Mumbai region (land only),True,False
FIR2072,Robbery,2025-12-09,23:00,19.02895,72.905,Ghatkopar,Zone A,Andheri PS,Dummy FIR record for Mumbai region (land only),False,True
FIR2073,Fraud,2025-12-13,08:01,19.09719,72.81972,Ghatkopar,Zone C,Borivali PS,Dummy FIR record for Mumbai region (land only),True,False
FIR2074,Fraud,2025-12-30,07:13,19.11789,72.80912,Andheri,Zone D,Borivali PS,Dummy FIR record for Mumbai region (land only),False,True
FIR2075,Kidnapping,2026-01-09,20:50,19.14045,72.81367,Borivali,Zone C,Dadar PS,Dummy FIR record for Mumbai region (land only),False,True
FIR2076,Assault,2025-12-01,06:01,19.12967,72.93779,Ghatkopar,Zone B,Colaba PS,Dummy FIR record for Mumbai region (land only),False,True
FIR2077,Robbery,2025-12-19,08:53,19.06459,72.91871,Colaba,Zone A,Borivali PS,Dummy FIR record for Mumbai region (land only),True,False
FIR2078,Murder,2026-01-05,10:42,19.08556,72.94132,Malad,Zone B,Colaba PS,Dummy FIR record for Mumbai region (land only),True,False
FIR2079,Assault,2025-12-25,22:27,19.07371,72.82422,Colaba,Zone D,Colaba PS,Dummy FIR record for Mumbai region (land only),True,True
FIR2080,Cyber Crime,2026-01-16,14:36,19.03907,72.89595,Kurla,Zone A,Dadar PS,Dummy FIR record for Mumbai region (land only),False,True
FIR2081,Murder,2025-12-11,01:06,19.05311,72.9405,Borivali,Zone C,Borivali PS,Dummy FIR record for Mumbai region (land only),True,False
FIR2082,Theft,2026-01-13,00:01,19.14806,72.93296,Kurla,Zone C,Bandra PS,Dummy FIR record for Mumbai region (land only),True,False
FIR2083,Burglary,2025-12-16,11:35,19.05008,72.85517,Ghatkopar,Zone C,Bandra PS,Dummy FIR record for Mumbai region (land only),True,False
FIR2084,Murder,2025-12-21,21:25,19.08359,72.86885,Andheri,Zone B,Andheri PS,Dummy FIR record for Mumbai region (land only),False,True
FIR2085,Burglary,2026-01-04,07:30,19.10212,72.94587,Andheri,Zone C,Borivali PS,Dummy FIR record for Mumbai region (land only),True,True
FIR2086,Kidnapping,2025-12-25,14:46,19.13074,72.84717,Andheri,Zone B,Borivali PS,Dummy FIR record for Mumbai region (land only),False,False
FIR2087,Theft,2026-01-05,22:16,19.19128,72.89142,Malad,Zone C,Bandra PS,Dummy FIR record for Mumbai region (land only),False,False
FIR2088,Robbery,2025-12-14,04:47,19.02277,72.85205,Ghatkopar,Zone A,Borivali PS,Dummy FIR record for Mumbai region (land only),False,True
FIR2089,Theft,2025-12-19,23:40,19.0601,72.87666,Ghatkopar,Zone D,Dadar PS,Dummy FIR record for Mumbai region (land only),False,False
FIR2090,Theft,2026-01-06,01:48,19.08639,72.94587,Mulund,Zone B,Andheri PS,Dummy FIR record for Mumbai region (land only),False,False
FIR2091,Burglary,2025-12-10,00:36,19.12013,72.87654,Thane,Zone B,Bandra PS,Dummy FIR record for Mumbai region (land only),True,True
FIR2092,Assault,2026-01-07,21:45,19.19547,72.80589,Andheri,Zone C,Dadar PS,Dummy FIR record for Mumbai region (land only),False,True
FIR2093,Fraud,2026-01-14,05:53,19.08669,72.84716,Colaba,Zone B,Dadar PS,Dummy FIR record for Mumbai region (land only),True,True
FIR2094,Cyber Crime,2025-12-19,01:06,19.02175,72.82297,Ghatkopar,Zone C,Colaba PS,Dummy FIR record for Mumbai region (land only),False,False
FIR2095,Burglary,2026-01-06,22:36,19.0313,72.88222,Thane,Zone B,Bandra PS,Dummy FIR record for Mumbai region (land only),False,False
FIR2096,Fraud,2025-12-28,17:00,19.13992,72.87747,Bandra,Zone C,Andheri PS,Dummy FIR record for Mumbai region (land only),True,False
FIR2097,Robbery,2025-12-01,00:37,19.1349,72.80395,Thane,Zone B,Kurla PS,Dummy FIR record for Mumbai region (land only),True,True
FIR2098,Cyber Crime,2025-12-23,05:38,19.05399,72.8381,Borivali,Zone C,Kurla PS,Dummy FIR record for Mumbai region (land only),False,True
FIR2099,Burglary,2025-12-10,17:33,19.12031,72.84517,Dadar,Zone D,Dadar PS,Dummy FIR record for Mumbai region (land only),True,True
FIR2100,Fraud,2025-12-20,15:49,19.11648,72.85556,Mulund,Zone C,Bandra PS,Dummy FIR record for Mumbai region (land only),False,True
FIR2101,Kidnapping,2025-12-13,07:11,19.03686,72.8279,Ghatkopar,Zone D,Colaba PS,Dummy FIR record for Mumbai region (land only),True,False
FIR2102,Robbery,2026-01-07,02:58,19.14588,72.88221,Kurla,Zone C,Bandra PS,Dummy FIR record for Mumbai region (land only),False,False
FIR2103,Murder,2026-01-19,03:04,19.08625,72.83032,Bandra,Zone B,Bandra PS,Dummy FIR record for Mumbai region (land only),False,False
FIR2104,Cyber Crime,2026-01-05,15:03,19.08723,72.92889,Thane,Zone A,Borivali PS,Dummy FIR record for Mumbai region (land only),True,True
FIR2105,Kidnapping,2026-01-19,10:13,19.00556,72.84456,Bandra,Zone B,Borivali PS,Dummy FIR record for Mumbai region (land only),False,False
FIR2106,Assault,2026-01-09,06:38,19.16779,72.88661,Mulund,Zone D,Dadar PS,Dummy FIR record for Mumbai region (land only),False,False
FIR2107,Murder,2025-12-10,17:37,19.05487,72.88787,Mulund,Zone C,Dadar PS,Dummy FIR record for Mumbai region (land only),True,False
FIR2108,Murder,2025-12-11,12:51,19.03985,72.86742,Colaba,Zone C,Dadar PS,Dummy FIR record for Mumbai region (land only),False,False
FIR2109,Cyber Crime,2026-01-14,08:37,19.07781,72.8914,Ghatkopar,Zone C,Dadar PS,Dummy FIR record for Mumbai region (land only),True,False
FIR2110,Fraud,2025-12-29,07:02,19.05262,72.80455,Malad,Zone D,Dadar PS,Dummy FIR record for Mumbai region (land only),True,False
FIR2111,Assault,2026-01-01,19:02,19.07668,72.88956,Malad,Zone B,Borivali PS,Dummy FIR record for Mumbai region (land only),True,False
FIR2112,Assault,2026-01-15,04:30,19.14169,72.84917,Colaba,Zone A,Kurla PS,Dummy FIR record for Mumbai region (land only),False,False
FIR2113,Kidnapping,2026-01-09,09:08,19.01144,72.86488,Bandra,Zone A,Kurla PS,Dummy FIR record for Mumbai region (land only),False,True
FIR2114,Kidnapping,2026-01-09,23:18,19.08837,72.85399,Dadar,Zone B,Dadar PS,Dummy FIR record for Mumbai region (land only),True,True
FIR2115,Assault,2026-01-20,09:53,19.09035,72.84933,Ghatkopar,Zone B,Bandra PS,Dummy FIR record for Mumbai region (land only),True,True
FIR2116,Murder,2025-12-19,02:45,19.02723,72.92315,Dadar,Zone B,Bandra PS,Dummy FIR record for Mumbai region (land only),False,False
FIR2117,Theft,2026-01-04,15:24,19.14909,72.85705,Andheri,Zone B,Dadar PS,Dummy FIR record for Mumbai region (land only),True,False
FIR2118,Burglary,2025-12-12,11:19,19.168,72.89623,Dadar,Zone B,Dadar PS,Dummy FIR record for Mumbai region (land only),False,False
FIR2119,Theft,2026-01-20,18:30,19.14965,72.87332,Dadar,Zone B,Dadar PS,Dummy FIR record for Mumbai region (land only),True,True
FIR2120,Assault,2025-12-05,00:54,19.10229,72.80033,Kurla,Zone D,Colaba PS,Dummy FIR record for Mumbai region (land only),False,False
