id,crimeType,date,time,latitude,longitude,area,zone,policeStation,description,isAccident,isSensitiveZone
FIR2001,Cyber Crime,15-12-2025,8.14,19.14213,72.81525,Thane,Zone D,Borivali PS,Dummy FIR record for Mumbai region (land only),TRUE,TRUE
FIR2002,Robbery,03-12-2025,2.24,19.16955,72.91981,Andheri,Zone A,Borivali PS,Dummy FIR record for Mumbai region (land only),FALSE,FALSE
FIR2003,Theft,14-12-2025,8.27,19.19782,72.83758,Andheri,Zone D,Bandra PS,Dummy FIR record for Mumbai region (land only),FALSE,FALSE
FIR2004,Burglary,03-01-2026,10.34,19.18152,72.92724,Andheri,Zone C,Kurla PS,Dummy FIR record for Mumbai region (land only),FALSE,TRUE
FIR2005,Robbery,08-01-2026,13.01,19.04004,72.82629,Dadar,Zone A,Andheri PS,Dummy FIR record for Mumbai region (land only),TRUE,FALSE
FIR2006,Murder,12-12-2025,22.09,19.06426,72.84042,Mulund,Zone B,Bandra PS,Dummy FIR record for Mumbai region (land only),FALSE,TRUE
FIR2007,Murder,13-12-2025,13.23,19.07455,72.90041,Malad,Zone A,Andheri PS,Dummy FIR record for Mumbai region (land only),TRUE,FALSE
FIR2008,Robbery,11-12-2025,3.10,19.02806,72.89119,Colaba,Zone C,Borivali PS,Dummy FIR record for Mumbai region (land only),TRUE,FALSE
FIR2009,Robbery,17-12-2025,1.01,19.19581,72.88929,Thane,Zone D,Colaba PS,Dummy FIR record for Mumbai region (land only),FALSE,FALSE
FIR2010,Theft,28-12-2025,3.59,19.05426,72.88362,Malad,Zone A,Kurla PS,Dummy FIR record for Mumbai region (land only),TRUE,TRUE
FIR2011,Cyber Crime,29-12-2025,18.46,19.19706,72.8464,Dadar,Zone A,Andheri PS,Dummy FIR record for Mumbai region (land only),FALSE,TRUE
FIR2012,Theft,25-12-2025,7.04,19.10944,72.89087,Ghatkopar,Zone D,Colaba PS,Dummy FIR record for Mumbai region (land only),FALSE,TRUE
FIR2013,Cyber Crime,31-12-2025,10.11,19.08488,72.91852,Andheri,Zone D,Colaba PS,Dummy FIR record for Mumbai region (land only),FALSE,TRUE
